Wall time,Step,Value
1761864691.798375,801,631.0
1761864722.7173526,802,650.0
1761864754.0199666,803,636.0
1761864785.0767899,804,641.0
1761864816.076174,805,633.0
1761864846.4456072,806,640.0
1761864877.0384815,807,653.0
1761864908.0822132,808,618.0
1761864939.037825,809,623.0
1761864969.5615976,810,627.0
1761864999.9053962,811,636.0
1761865030.3791475,812,652.0
1761865061.2401183,813,630.0
1761865092.1523812,814,635.0
1761865123.0085335,815,655.0
1761865153.8296256,816,647.0
1761865184.1129942,817,662.0
1761865215.1590421,818,652.0
1761865245.900274,819,646.0
1761865276.6309557,820,651.0
1761865307.1451662,821,650.0
1761865337.9625683,822,637.0
1761865368.3650837,823,660.0
1761865399.034876,824,637.0
1761865430.0825286,825,639.0
1761865460.7388196,826,641.0
1761865491.3554926,827,634.0
1761865522.264872,828,621.0
1761865553.288529,829,638.0
1761865584.2459643,830,652.0
1761865614.8318117,831,644.0
1761865645.4350898,832,654.0
1761865675.9957201,833,651.0
1761865706.8646505,834,642.0
1761865737.3194585,835,655.0
1761865768.4206305,836,635.0
1761865799.3784692,837,641.0
1761865830.6414633,838,620.0
1761865861.14158,839,657.0
1761865892.2012649,840,638.0
1761865923.026361,841,647.0
1761865953.6970086,842,646.0
1761865984.7374604,843,631.0
1761866015.185599,844,635.0
1761866046.3679774,845,651.0
1761866077.2788959,846,662.0
1761866107.7508006,847,648.0
1761866138.0886953,848,641.0
1761866168.9120998,849,631.0
1761866199.1854098,850,645.0
1761866230.3431304,851,636.0
1761866260.869416,852,638.0
1761866291.3568068,853,661.0
1761866322.044636,854,640.0
1761866352.9676888,855,632.0
1761866383.3471107,856,660.0
1761866414.1222944,857,640.0
1761866445.2516847,858,629.0
1761866475.913027,859,656.0
1761866507.0099056,860,637.0
1761866537.5602236,861,652.0
1761866568.1742914,862,642.0
1761866598.887483,863,626.0
1761866629.667903,864,638.0
1761866661.173149,865,646.0
1761866691.9998536,866,634.0
1761866723.0310936,867,623.0
1761866753.7903905,868,638.0
1761866783.9646027,869,660.0
1761866814.6052206,870,631.0
1761866845.578478,871,625.0
1761866875.9423347,872,660.0
1761866906.661026,873,640.0
1761866937.4918797,874,650.0
1761866968.181757,875,658.0
1761866998.6608295,876,661.0
1761867029.1549118,877,639.0
1761867059.7572942,878,669.0
1761867090.683971,879,656.0
1761867121.429249,880,641.0
1761867152.2893674,881,645.0
1761867183.0117595,882,649.0
1761867213.98592,883,635.0
1761867244.9492102,884,638.0
1761867275.7276375,885,656.0
1761867306.5759575,886,651.0
1761867337.5463743,887,650.0
1761867368.0865617,888,658.0
1761867398.6889727,889,633.0
1761867429.7922187,890,638.0
1761867460.842526,891,640.0
1761867491.024006,892,661.0
1761867521.9895954,893,634.0
1761867552.7089481,894,653.0
1761867583.570598,895,642.0
1761867614.176448,896,638.0
1761867644.6876233,897,671.0
1761867675.961595,898,642.0
1761867707.026431,899,629.0
1761867737.9540215,900,626.0
1761867768.9274726,901,646.0
1761867799.921283,902,653.0
1761867831.0434349,903,625.0
1761867861.947134,904,650.0
1761867892.910351,905,634.0
1761867923.7295578,906,640.0
1761867955.115909,907,627.0
1761867985.8958213,908,652.0
1761868016.8186777,909,643.0
1761868047.5348516,910,647.0
1761868078.0632446,911,642.0
1761868108.5212045,912,662.0
1761868139.1828713,913,626.0
1761868170.4292252,914,653.0
1761868201.1383524,915,650.0
1761868231.5924866,916,667.0
1761868262.604067,917,639.0
1761868292.87126,918,642.0
1761868323.2358994,919,652.0
1761868354.270514,920,646.0
1761868384.9891446,921,652.0
1761868416.1530032,922,638.0
1761868446.9316573,923,655.0
1761868477.5970614,924,644.0
1761868508.6129951,925,628.0
1761868539.683987,926,637.0
1761868570.308297,927,653.0
1761868600.8711016,928,636.0
1761868631.7597544,929,652.0
1761868662.0235748,930,650.0
1761868693.0513468,931,665.0
1761868723.4566007,932,624.0
1761868754.2531466,933,630.0
1761868784.966317,934,625.0
1761868815.918979,935,665.0
1761868846.6130006,936,641.0
1761868877.381877,937,638.0
1761868907.5638802,938,661.0
1761868938.5173569,939,640.0
1761868969.1818936,940,649.0
1761869000.1181734,941,622.0
1761869031.3163128,942,636.0
1761869061.868619,943,657.0
1761869092.3707936,944,635.0
